ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA264 / ISD265,,,TEMPERZONE,5.01,Ducted,Single Split System,,Air,Air,Japan,9.3,20.04,25.05,650.0,,,,1025.0,7.93,27.0,,,,,100.0,,,,,,2.694,,,,,,,,,,,,Three,,"Australia,New Zealand",13281,,2007-09-30,Superseded,Reverse Cycle,1240.0,Class 11,,,,,,,,,Available,,,,,False,,
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA148 / ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.498,,False,,,,,,,2.498,,,,,,,,,,,,Three,R22,"Australia,New Zealand",14903,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.498,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.3:2002,OSA147/ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.5,,False,,,,,,,2.5,,,,,,,,,,,,Single,R22,"Australia,New Zealand",14954,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.5,Available,,,,,False,,
AS/NZS 3823.2:2001 (Legacy),2006,AS/NZS 3823.1.1:1998,KFR-27GW/T,,,EXPERTAIR,0.71,Non Ducted,Single Split System,,Air,Air,China,1.12,1.99,2.7,814.0,,,,278.0,1.11,3.0,,2.57,2.78,False,,,,,,,2.57,,,,,,,,,,,,Single,R22,New Zealand,15609,,2006-07-01,Superseded,Reverse Cycle,190.0,Class 3,,,,,,,,2.57,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 070H9,,,CARRIER,5.2,Non Ducted,Single Split System,,Air,Air,Israel,6.04,9.7,14.9,400.0,,,,640.0,5.46,15.54,,2.47,2.84,False,,,,,,,2.47,,,,,,,,,,,,Three,R22,New Zealand,15878,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.47,Available,2,2,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 050H9,,,CARRIER,3.69,Non Ducted,Single Split System,,Air,Air,Israel,3.75,6.57,10.03,320.0,,,,640.0,3.6,10.55,,2.67,2.93,False,,,,,,,2.67,,,,,,,,,,,,Three,R22,New Zealand,15880,,2007-09-30,Superseded,Reverse Cycle,1100.0,Class 5,,,,,,,,2.67,Available,3,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 060H9,,,CARRIER,4.47,Non Ducted,Single Split System,,Air,Air,Israel,5.0,8.31,12.78,400.0,,,,640.0,4.17,13.481,,2.55,3.43,False,,,,,,,2.55,,,,,,,,,,,,Three,R22,New Zealand,15883,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.55,Available,2,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H12A4/HSA,,,MZB,3.4,Non Ducted,Single Split System,,Air,Air,China,3.19,2.427,3.2,,,,,,1.31,3.8,,2.459,2.813,False,,,,,,,2.459,,,,,,,,,,,,Single,R22,New Zealand,16174,,2006-07-01,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.459,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,TA-18C(H)S,,,TOYO,0.0,Non Ducted,Single Split System,,Air,Air,China,1.97,5.1,5.1,240.0,,,,288.0,1.91,5.2,,2.7,2.8,False,,,,,,,2.7,,,,,,,,,,,,Single,R407,New Zealand,16197,,2006-06-16,Superseded,Reverse Cycle,790.0,Class 4,,,,,,,,2.7,Available,2.8,2.723,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H18B4/HSA,,,MZB,5.3,Non Ducted,Single Split System,,Air,Air,China,2.0,4.081,5.3,,,,,,2.0,5.8,,2.794,2.809,False,,,,,,,2.794,,,,,,,,,,,,Single,R22,New Zealand,16211,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.794,Available,3.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H24B4/HSA,,,MZB,7.3,Non Ducted,Single Split System,,Air,Air,China,2.7,5.215,7.0,,,,,,2.7,7.7,,2.573,2.751,False,,,,,,,2.573,,,,,,,,,,,,Single,R22,New Zealand,16212,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.573,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,HWP78,,,TEMPERZONE,2.3,Ducted,Packaged,,Cooling Tower,,New Zealand,2.3,5.5,7.5,,,,,,,,,3.245,,False,,,,,,,3.245,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16599,,2007-09-30,Superseded,Cooling Only,,Class 6,,,,,,,,3.245,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-23GW/A13,,,GREE,0.463,Non Ducted,Single Split System,,Air,,China,0.82,1.861,2.3,,,,,,0.8,2.4,,2.844,3.194,False,,,,,,,2.844,,,,,,,,,,,,Single,R22,New Zealand,16747,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.844,Available,3.5,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISD75 OSA73,,,TEMPERZONE,1.382,Ducted,Single Split System,,Air,Air,New Zealand,2.6,5.528,6.91,380.0,,,,655.0,2.3,7.2,,2.622,,False,,,,,,,2.622,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16851,,2010-03-31,Superseded,Reverse Cycle,885.0,Class 6,,,,,,,,2.622,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISDL71 OSA73,,,TEMPERZONE,1.065,Ducted,Single Split System,,Air,Air,New Zealand,2.5,6.035,7.1,,,,,,2.0,6.9,,3.104,,False,,,,,,,3.104,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16857,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,3.104,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISD127 OSA126,,,TEMPERZONE,2.34,Ducted,Single Split System,,Air,Air,New Zealand,4.25,9.36,11.7,,,,,,3.8,12.7,,2.623,,False,,,,,,,2.623,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16982,,2010-03-31,Superseded,Reverse Cycle,,Class 7,,,,,,,,2.623,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,ISD266 OSA266,,,TEMPERZONE,4.98,Ducted,Single Split System,,Air,Air,New Zealand,9.8,19.92,24.9,,,,,,7.94,27.0,,2.45,,False,,,,,,,2.45,,,,,,,,,,,,Three,R22,"Australia,New Zealand",16984,,2007-09-30,Superseded,Reverse Cycle,,Class 11,,,,,,,,2.45,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISDL100 OSA100,,,TEMPERZONE,1.93,Ducted,Single Split System,,Air,Air,New Zealand,3.6,7.72,9.65,,,,,,3.1,10.2,,2.798,,False,,,,,,,2.798,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16985,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.798,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISDL84 OSA85,,,TEMPERZONE,1.654,Ducted,Single Split System,,Air,Air,New Zealand,2.9,6.616,8.27,,,,,,2.898,8.9,,2.866,,False,,,,,,,2.866,,,,,,,,,,,,Single,R22,"Australia,New Zealand",17025,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.866,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISD85 OSA85,,,TEMPERZONE,1.6,Ducted,Single Split System,,Air,,New Zealand,3.2,6.4,8.0,,,,,,2.92,8.9,,2.604,,False,,,,,,,2.604,,,,,,,,,,,,Single,R22,"Australia,New Zealand",17030,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.604,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISDL45 OSA45,,,TEMPERZONE,0.655,Ducted,Single Split System,,Air,Air,New Zealand,1.62,3.713,4.368,,,,,,1.3,4.2,,2.589,,False,,,,,,,2.589,,,,,,,,,,,,Single,R22,"Australia,New Zealand",17031,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.589,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISDL29 OSA29,,,TEMPERZONE,0.425,Ducted,Single Split System,,Air,Air,New Zealand,1.035,2.4,2.825,,,,,,0.92,2.6,,2.607,,False,,,,,,,2.607,,,,,,,,,,,,Single,R22,"Australia,New Zealand",17033,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.607,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.3:2002,ISD101 OSA100,,,TEMPERZONE,1.91,Ducted,Single Split System,,Air,Air,New Zealand,3.8,7.64,9.55,,,,,,3.3,10.2,,2.513,,False,,,,,,,2.513,,,,,,,,,,,,Single,R22,"Australia,New Zealand",17039,,2010-03-31,Superseded,Reverse Cycle,,Class 6,,,,,,,,2.513,Unavailable,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.3:2002,ISD221 OSA221,,,TEMPERZONE,4.172,Ducted,Single Split System,,Air,Air,New Zealand,7.4,16.688,20.86,,,,,,6.0,21.2,,2.713,,False,,,,,,,2.713,,,,,,,,,,,,Three,R22,"Australia,New Zealand",17067,,2007-09-30,Superseded,Reverse Cycle,,Class 11,,,,,,,,2.713,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-26GW/A13,,,GREE,0.521,Non Ducted,Single Split System,,Air,,China,0.94,2.091,2.6,,,,,,1.04,3.0,,2.663,2.868,False,,,,,,,2.663,,,,,,,,,,,,Single,R22,New Zealand,18054,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.663,Available,3.5,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR51GW/XBPC,,,JUSTLOGIC,0.0,Non Ducted,Single Split System,,Air,Air,China,2.2,5.1,5.1,,,,,,2.24,5.6,,2.31,2.571,True,100.0,,,,,,2.31,,,,,,,,,,,,Single,R407,New Zealand,18162,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.31,Available,2.0,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001/Amdt 2:2003,KFR30,,,AURA,0.889,Non Ducted,Single Split System,,Air,Air,China,1.15,2.111,3.0,250.0,,,,360.0,1.359,3.6,,2.566,2.594,True,100.0,,,,,,2.566,,,,,,,,,,,,Single,R22,New Zealand,18185,,2006-06-16,Superseded,Reverse Cycle,880.0,Class 3,,,,,,,,2.566,Available,2.5,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-35GW/Xc,,,FUJIAIR,0.525,Non Ducted,Single Split System,,Air,Air,China,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,18221,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Unavailable,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-35GW/XDc,,,FUJIAIR,0.525,Non Ducted,Single Split System,,Air,Air,China,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,18221,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Unavailable,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-25GW/Xc,,,FUJIAIR,0.635,Non Ducted,Single Split System,,Air,Air,China,0.94,1.871,2.5,,,,,,0.91,2.6,,2.547,3.147,False,,,,,,,2.547,,,,,,,,,,,,Single,R407,New Zealand,18229,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.547,Unavailable,2.5,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-25GW/XDc,,,FUJIAIR,0.635,Non Ducted,Single Split System,,Air,Air,China,0.94,1.871,2.5,,,,,,0.91,2.6,,2.547,3.147,False,,,,,,,2.547,,,,,,,,,,,,Single,R407,New Zealand,18229,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.547,Unavailable,2.5,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,KFR-35GW/J11,,,GREE,0.881,Non Ducted,Double/Triple Split,,Air,Air,China,1.34,2.712,3.5,,,,,,1.35,3.8,,2.655,2.754,False,,,,,,,2.655,,,,,,,,,,,,Three,R22,New Zealand,18421,,2007-09-30,Superseded,Reverse Cycle,,Class 8,,,,,,,,2.655,Unavailable,3.0,2.0,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-30GW/XBPc,,,FUJIAIR,0.756,Non Ducted,Single Split System,,Air,Air,China,1.18,2.096,2.852,,,,,,1.36,3.6,,2.409,2.57,False,,,,,,,2.409,,,,,,,,,,,,Single,R407,New Zealand,18445,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.409,Unavailable,2.0,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-51GW/BPc,,,FUJIAIR,1.435,Non Ducted,Single Split System,,Air,Air,China,2.09,3.611,5.1,,,,,,2.11,5.6,,2.475,2.543,False,,,,,,,2.475,,,,,,,,,,,,Single,R22,New Zealand,18473,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.475,Unavailable,2.5,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,KFR-51GW/c,,,JUSTLOGIC,0.0,Non Ducted,Single Split System,,Air,Air,China,2.05,5.1,5.1,,,,,,1.9,5.4,,2.533,2.842,False,,,,,,,2.533,,,,,,,,,,,,Single,R22,New Zealand,19097,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.533,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.1.1:1998,MSH-18HRIN1,,,MIDEA,1.261,Non Ducted,Single Split System,,Air,Air,China,1.64,3.974,5.2,225.0,,,,292.0,1.72,6.2,,3.12,3.51,True,100.0,,,,,,3.12,,,,,,,,,,,,Single,R410A,New Zealand,19470,,2010-03-31,Superseded,Reverse Cycle,920.0,Class 4,,,,,,,,3.12,Unavailable,4.5,5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H18B4/M,,,BLUE SEAL,0.5,Non Ducted,Window Wall,,Air,Air,China,2.0,4.0,5.3,,,,,,2.0,5.8,,2.765,2.803,False,,,,,,,2.765,,,,,,,,,,,,Single,R22,New Zealand,19628,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.765,Available,3.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-53GW/M,,,BLUE SEAL,0.5,Non Ducted,Window Wall,,Air,Air,China,2.0,4.0,5.3,,,,,,2.0,5.8,,2.765,2.803,False,,,,,,,2.765,,,,,,,,,,,,Single,R22,New Zealand,19628,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.765,Available,3.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H12B4/HB,,,BLUE SEAL,0.0,Non Ducted,Window Wall,,Air,Air,China,1.3,3.5,3.5,,,,,,1.32,4.0,,2.667,2.994,False,,,,,,,2.667,,,,,,,,,,,,Single,R22,New Zealand,19673,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.667,Available,3,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/HS,,,BLUE SEAL,0.0,Non Ducted,Window Wall,,Air,Air,China,1.3,3.5,3.5,,,,,,1.32,4.0,,2.667,2.994,False,,,,,,,2.667,,,,,,,,,,,,Single,R22,New Zealand,19673,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.667,Available,3,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H24B4,,,BLUE SEAL,1.8,Non Ducted,Window Wall,,Air,Air,China,2.7,5.2,7.0,,,,,,2.7,7.7,,2.577,2.759,False,,,,,,,2.577,,,,,,,,,,,,Single,R22,New Zealand,19676,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.577,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-70GW,,,BLUE SEAL,1.8,Non Ducted,Window Wall,,Air,Air,China,2.7,5.2,7.0,,,,,,2.7,7.7,,2.577,2.759,False,,,,,,,2.577,,,,,,,,,,,,Single,R22,New Zealand,19676,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.577,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H24A4,,,BLUE SEAL,1.4,Non Ducted,Window Wall,,Air,Air,China,2.4,4.6,6.0,,,,,,2.3,2.3,,2.603,2.745,False,,,,,,,2.603,,,,,,,,,,,,Single,R22,New Zealand,19678,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.603,Available,3,2,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-60GW,,,BLUE SEAL,1.4,Non Ducted,Window Wall,,Air,Air,China,2.4,4.6,6.0,,,,,,2.3,2.3,,2.603,2.745,False,,,,,,,2.603,,,,,,,,,,,,Single,R22,New Zealand,19678,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.603,Available,3,2,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-4010GW/FZBPE,,,HISENSE,1.2,Non Ducted,Single Split System,,Air,Air,China,1.32,2.8,4.0,,,,,,1.4,4.5,,2.908,3.076,True,50.0,,,,,,2.948,,,,,,,,,,,,Single,R410A,"Australia,New Zealand",19700,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.908,Available,4.0,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2007,AS/NZS 3823.1.1:1998,KFR-3510GW/FZBPE,,,HISENSE,1.1,Non Ducted,Single Split System,,Air,Air,China,1.09,2.5,3.5,,,,,,1.31,4.2,,3.08,3.069,True,50.0,,,,,,3.573,,,,,,,,,,,,Single,R410A,"Australia,New Zealand",19701,,2010-03-31,Superseded,Reverse Cycle,,Class 3,,,,,,,,3.08,Unavailable,4.5,3.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001/Amdt 2:2003,KFR51,,,AURA,1.489,Non Ducted,Single Split System,,Air,Air,China,2.039,3.611,5.1,270.0,,,,240.0,2.11,5.6,,2.475,2.543,True,100.0,,,,,,2.475,,,,,,,,,,,,Single,R22,New Zealand,19702,,2006-06-16,Superseded,Reverse Cycle,300.0,Class 4,,,,,,,,2.475,Available,2.5,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-50GW/A,,,YAIR,2.1,Non Ducted,Single Split System,,Air,Air,China,1.85,5.0,5.0,,,,,,1.78,5.6,,2.64,3.06,False,,,,,,,2.64,,,,,,,,,,,,Single,R407C,"Australia,New Zealand",19972,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.64,Available,3,3.5,http://www.midea.net.nz/,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-70GW,,,YAIR,3.7,Non Ducted,Single Split System,,Air,Air,China,2.55,7.0,7.0,,,,,,2.75,7.6,,2.74,2.84,False,,,,,,,2.74,,,,,,,,,,,,Single,R407C,"Australia,New Zealand",19983,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.74,Available,3,2.5,http://www.midea.net.nz/,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/AD,,,YAIR,1.2,Non Ducted,Single Split System,,Air,Air,China,1.27,3.5,3.5,,,,,,1.27,4.0,,2.87,3.17,False,,,,,,,2.87,,,,,,,,,,,,Single,R407C,"Australia,New Zealand",19984,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.87,Available,3.5,3.5,http://www.midea.net.nz/,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/Xc,,,HYUNDAI,0.525,Non Ducted,Single Split System,,Air,Air,New Zealand,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,20013,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/XDc,,,HYUNDAI,0.525,Non Ducted,Single Split System,,Air,Air,New Zealand,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,20013,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/Xc,,,CHIGO,0.525,Non Ducted,Single Split System,,Air,Air,New Zealand,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,20014,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-35GW/XDc,,,CHIGO,0.525,Non Ducted,Single Split System,,Air,Air,New Zealand,1.44,3.12,3.5,,,,,,1.45,3.6,,2.533,2.846,False,,,,,,,2.533,,,,,,,,,,,,Single,R407,New Zealand,20014,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.533,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-51GW/Xc,,,CHIGO,1.263,Non Ducted,Single Split System,,Air,Air,China,2.02,3.81,5.1,,,,,,1.98,5.4,,2.465,2.711,False,,,,,,,2.465,,,,,,,,,,,,Single,R407,New Zealand,20015,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.465,Available,2.5,2.0,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-51GW/Xc,,,HYUNDAI,1.263,Non Ducted,Single Split System,,Air,Air,China,2.02,3.81,5.1,,,,,,1.98,5.4,,2.465,2.711,False,,,,,,,2.465,,,,,,,,,,,,Single,R407,New Zealand,20016,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.465,Available,2.5,2.0,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-70GW/Xc,,,CHIGO,1.58,Non Ducted,Single Split System,,Air,Air,China,2.74,5.16,7.0,,,,,,2.95,7.4,,2.372,2.357,False,,,,,,,2.372,,,,,,,,,,,,Single,R407,New Zealand,20017,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.372,Available,2.0,1.0,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-70GW/Xc,,,HYUNDAI,1.58,Non Ducted,Single Split System,,Air,Air,China,2.74,5.16,7.0,,,,,,2.95,7.4,,2.372,2.357,False,,,,,,,2.372,,,,,,,,,,,,Single,R407,New Zealand,20018,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.372,Available,2.0,1.0,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-25GW/XBPc,,,CHIGO,0.61,Non Ducted,Single Split System,,Air,Air,China,1.0,1.822,2.5,,,,,,1.03,2.7,,2.354,2.499,True,100.0,,,,2.354,2.499,2.354,,,,,,,,,,,,Single,R407,New Zealand,20019,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.354,Available,2.0,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-25GW/XBPc,,,HYUNDAI,0.61,Non Ducted,Single Split System,,Air,Air,China,1.0,1.822,2.5,,,,,,1.03,2.7,,2.354,2.499,True,100.0,,,,2.354,2.499,2.354,,,,,,,,,,,,Single,R407,New Zealand,20020,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.354,Available,2.0,1.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-30GW/XBPc,,,CHIGO,0.75,Non Ducted,Single Split System,,Air,Air,China,1.18,2.25,3.0,,,,,,1.38,3.6,,2.409,2.57,True,100.0,,,,2.409,2.57,2.409,,,,,,,,,,,,Single,R407,New Zealand,20035,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.409,Available,2.0,1.5,,,False,,
